"key","avg","std","len(val)"
"Home & Garden",2.12890625,1.0752835631641253,64
"Community Service/Non-Profit",1.75,0.6123724356957945,15
"Cuban",2.3863636363636362,0.8350533214033561,11
"Scottish",2.8815789473684212,0.871207650381413,95
"Caterers",2.4315068493150687,0.9680338373357925,73
"Bagels",1.760204081632653,0.6642457431781397,49
"Mediterranean",2.554034582132565,0.783565617299454,347
"Korean",2.5,0.6963575181639445,58
"Health Markets",2.645985401459854,0.7409073741117441,137
"Drugstores",2.2685185185185186,0.7189247746931848,189
"Furniture Stores",2.6893939393939394,1.0262285745563686,33
"Office Equipment",2.5,0.7216878364870323,12
"Local Flavor",2.4404761904761907,0.9816918156232525,21
"Music Venues",2.3552631578947367,0.7108917189073737,380
"Check Cashing/Pay-day Loans",2.6923076923076925,0.8271466602925602,13
"Juice Bars & Smoothies",2.051282051282051,0.8246589955300389,117
"Diners",2.2270114942528734,0.6944279295169293,87
"Day Spas",3.888888888888889,0.9212846639876112,27
"Fashion",2.5148809523809526,1.0113575200920355,84
"Chinese",2.429205409974641,0.8970146095291239,1183
"Men's Clothing",2.6923076923076925,1.0415433852097387,39
"Ethiopian",2.3026315789473686,0.7326005740565817,19
"Bowling",2.765151515151515,1.0093115601874416,33
"American (New)",2.535211267605634,0.7105787348806538,142
"Persian/Iranian",2.3684210526315788,0.605358497449222,57
"Pool Halls",2.2083333333333335,0.6984606089266755,30
"Peruvian",3.2954545454545454,0.8035304331665313,11
"Meat Shops",2.6244588744588744,0.8003903467578484,231
"Burgers",2.1942595673876872,0.7649048046949394,601
"Cheese Shops",2.767857142857143,0.8423197439336254,56
"Post Offices",2.5416666666666665,0.7557648811340439,30
"Pubs",2.415168292950334,0.7953859765764633,9121
"Pakistani",2.5676437429537766,0.7453851825567551,887
"Street Vendors",1.9907407407407407,0.9777181519417999,27
"Chicken Shop",2.235576923076923,0.5663086052591224,52
"Vacation Rentals",2.784090909090909,0.9922868861689192,22
"Tapas Bars",2.6908396946564888,0.6456194589327203,131
"Sports Wear",2.272727272727273,0.7186994682200862,11
"Thai",2.5707547169811322,0.7085684453339939,530
"American (Traditional)",2.355679702048417,0.8811497661831409,537
"Steakhouses",3.0601659751037342,0.8274406708269615,241
"Wineries",2.9166666666666665,1.0865337342004413,15
"Lebanese",2.392857142857143,0.8645513169221575,35
"Cards & Stationery",2.1710526315789473,0.8450810907016534,38
"Barbeque",2.4074074074074074,0.6522686483150635,108
"Sports Clubs",2.5,1.1572751247156894,21
"Children's Clothing",2.6136363636363638,0.9906588508046986,22
"Irish Pub",2.2115384615384617,0.7195494974565273,13
"Middle Eastern",2.346774193548387,0.9017845644189911,155
"Food Trucks",1.5909090909090908,0.5567022142689041,11
"Bangladeshi",2.6515151515151514,0.82901775106967,66
"Butcher",2.644230769230769,0.8947131315517858,156
"Indian",2.548342541436464,0.79508418110352,2172
"Gay Bars",2.4107142857142856,0.6788063503124362,70
"Food Delivery Services",2.363782051282051,0.9125825167809505,156
"Modern European",3.1053459119496853,0.9123901018506206,318
"Zoos",2.6041666666666665,1.2968645414571596,12
"Sandwiches",1.7963347164591978,0.8236206768663891,723
"Buffets",2.16796875,0.7409014350933851,64
"Champagne Bars",3.3173076923076925,0.6883567818882863,26
"Belgian",2.314814814814815,0.5594002765553042,27
"Newspapers & Magazines",1.9791666666666667,0.8247757724292857,156
"Coffee & Tea",2.107201309328969,0.8431626880080221,3666
"Breakfast & Brunch",2.0364357864357863,0.7739839929517881,693
"Noodles",2.2222222222222223,0.666087711571211,18
"Amusement Parks",3.161764705882353,0.870011732808767,17
"Soup",1.684782608695652,0.8729553480548375,23
"Museums",2.0945945945945947,1.0089989542613567,37
"Print Media",2.384259259259259,0.9399972455669885,54
"Wholesale Stores",2.2395833333333335,0.8823476221925738,24
"Nurseries & Gardening",2.9285714285714284,0.9422075684480656,105
"Chicken Wings",2.039473684210526,0.726668487972846,76
"Music & DVDs",2.34375,0.8317041365974642,24
"Lounges",2.75,0.7831807537364895,215
"Italian",2.633186705767351,0.7731698419087131,2046
"Spanish",2.691798941798942,0.6068819971933578,189
"Adult Entertainment",3.0357142857142856,1.3122266479195597,14
"Mexican",2.200374531835206,0.7442789601939098,267
"Grocery",2.3505231689088193,0.8731609474751136,1338
"Chocolatiers & Shops",2.8186274509803924,0.9748618530074188,153
"Brasseries",2.896039603960396,0.7852817860997676,101
"Tea Rooms",2.223684210526316,0.8346711330080897,190
"Arts & Entertainment",2.6666666666666665,0.9537935951882999,30
"Farmers Market",2.6376146788990824,0.9326433766673148,109
"Bikes",2.5,0.9128709291752769,15
"Campgrounds",2.6315789473684212,0.5582421956735901,19
"Toy Stores",3.0416666666666665,1.193879065157867,30
"Internet Cafes",1.7613636363636365,0.6145826037722709,22
