"key","hygiene_avg","len(hygiene)","ratings_avg","len(ratings)"
"Farmers Market",4.448863636363637,176,4.241193181818179,176
"Bikes",4.222222222222222,18,4.575,18
"Campgrounds",4.629032258064516,62,3.996774193548386,62
"Toy Stores",4.75,20,3.9025,20
"Internet Cafes",4.615384615384615,26,4.199999999999999,26
"Churches",4.428571428571429,49,4.139795918367346,49
"Food Stands",4.333333333333333,15,3.9266666666666667,15
"Home Decor",4.704545454545454,44,4.088636363636364,44
"Gastropubs",4.133495145631068,412,3.9027912621359224,412
"Cocktail Bars",4.123115577889447,398,3.916708542713567,398
"Stadiums & Arenas",4.5964912280701755,57,3.9684210526315793,57
"Vegan",3.735632183908046,87,4.26934865900383,87
"Horseback Riding",4.533333333333333,15,4.1066666666666665,15
"Caribbean",3.6095238095238096,105,4.0134920634920634,105
"Szechuan",3.8,15,3.7355555555555555,15
"Hookah Bars",3.04,25,3.8833333333333333,25
"Falafel",3.888888888888889,18,4.234259259259258,18
"Organic Stores",4.1568627450980395,51,4.291176470588235,51
"Active Life",4.434782608695652,46,4.255434782608696,46
"Ice Cream & Frozen Yogurt",4.4296875,256,4.232877604166665,256
"Scandinavian",4.2,15,4.199999999999999,15
"Post Offices",4.472602739726027,146,3.962328767123288,146
"Cinema",4.689516129032258,248,3.806250000000001,248
"Venues & Event Spaces",4.4576271186440675,413,3.8916061339790167,413
"German",3.611111111111111,18,4.1499999999999995,18
"Landmarks & Historical Buildings",4.614906832298137,161,4.123291925465842,161
"Specialty Food",4.174418604651163,86,4.251744186046511,86
"Irish",4.3061224489795915,49,3.944897959183674,49
"Fish & Chips",4.26334208223972,2286,3.9270778652668445,2286
"Arts & Entertainment",4.644444444444445,135,4.077037037037038,135
"African",3.1666666666666665,54,3.9787037037037036,54
"Amusement Parks",4.56140350877193,57,3.9754385964912275,57
"Social Clubs",4.443589743589744,390,3.912606837606838,390
"Religious Organizations",4.680851063829787,47,4.5294326241134755,47
"Mass Media",4.818181818181818,11,4.222727272727273,11
"Vegetarian",4.121848739495798,238,4.146918767507004,238
"Dive Bars",3.902439024390244,41,3.554878048780487,41
"Sports Bars",4.1,90,3.643333333333333,90
"Beer, Wine & Spirits",4.367052023121388,346,3.9391618497109833,346
"Imported Food",3.8020833333333335,96,4.00329861111111,96
"Karaoke",3.861111111111111,36,3.4810185185185185,36
"Office Equipment",4.461538461538462,13,4.103846153846154,13
"Hotels & Travel",4.475247524752476,101,4.015841584158416,101
"Restaurants",4.164948453608248,1261,3.9397568067671194,1261
"Skating Rinks",4.5,12,4.0,12
"Golf",4.412037037037037,216,4.05486111111111,216
"Nightlife",4.431372549019608,51,4.019607843137256,51
"Herbs & Spices",4.153846153846154,13,4.607692307692308,13
"Car Dealers",4.2,15,3.433333333333333,15
"Turkish",3.8149253731343284,335,4.074328358208954,335
"Breweries",4.419753086419753,81,4.167901234567901,81
"Travel Services",4.5,12,3.85,12
"Sushi Bars",4.046511627906977,258,3.8702196382428946,258
"Convenience Stores",4.096952908587258,722,3.613434903047092,722
"Salad",4.297297297297297,111,3.8070570570570563,111
"Discount Store",4.521739130434782,207,3.75,207
"Kitchen & Bath",4.608695652173913,23,4.063043478260869,23
"Japanese",4.038229376257545,497,3.853521126760564,497
"Milkshake Bars",4.258064516129032,31,3.9559139784946233,31
"Swimming Pools",4.51063829787234,47,3.7872340425531923,47
"Tex-Mex",3.9743589743589745,39,3.8064102564102567,39
"Noodles",3.75,20,3.8200000000000003,20
"Cantonese",3.323529411764706,34,3.9098039215686278,34
"Guest Houses",4.564705882352941,340,4.166764705882351,340
"Florists",4.424242424242424,33,4.137878787878788,33
"Beaches",4.636363636363637,11,4.3136363636363635,11
"Bars",4.262439807383628,1246,3.824866238630288,1246
"Bubble Tea",3.9047619047619047,21,4.052380952380952,21
"Hotels",4.388701258827141,3257,3.788404462184027,3257
"Professional Services",4.689655172413793,29,3.9948275862068963,29
"Candy Stores",4.43125,160,4.087291666666667,160
"Parking",4.642857142857143,14,3.6750000000000003,14
"Outlet Stores",4.636363636363637,11,3.8545454545454545,11
"Gift Shops",4.610169491525424,59,4.056779661016949,59
"Basque",4.209302325581396,43,3.8802325581395354,43
"Wholesale Stores",4.541666666666667,24,3.9020833333333336,24
"Asian Fusion",4.003663003663004,273,3.9013431013431004,273
"Buffets",3.6744186046511627,86,3.5482558139534888,86
"Colleges & Universities",4.744,125,4.1032,125
"Fast Food",3.939570119802678,5676,3.7536351891002973,5676
"Bistros",4.240963855421687,166,4.207831325301205,166
"Train Stations",4.471698113207547,53,3.400943396226415,53
"Recreation Centers",4.1875,16,4.259375,16
"Creperies",3.8863636363636362,44,4.075,44
"Tobacco Shops",4.722222222222222,36,3.426388888888889,36
"Wine Bars",4.264478764478764,518,3.968211068211069,518
"Seafood Markets",4.213483146067416,89,4.395505617977528,89
"Cupcakes",4.636363636363637,22,4.322727272727273,22
"Art Galleries",4.475728155339806,103,4.166990291262137,103
"Kids Activities",4.720496894409938,161,4.03944099378882,161
"Hostels",4.346938775510204,49,3.6346938775510207,49
"Auto Repair",4.523809523809524,21,3.7714285714285714,21
"Himalayan/Nepalese",3.7794117647058822,68,4.34387254901961,68
"Brazilian",3.9555555555555557,45,3.8977777777777787,45
"Hardware Stores",4.612903225806452,31,3.9741935483870967,31
"Polish",4.129032258064516,31,4.1483870967741945,31
"Trainers",4.388888888888889,18,4.102777777777778,18
"Beer Gardens",4.266666666666667,15,3.816666666666667,15
"Cafes",4.265960665658094,3305,4.0301664145234355,3305
"Halal",3.4275862068965517,145,3.9002298850574713,145
"Shopping Centers",4.686274509803922,51,3.8362745098039217,51
"Bingo Halls",4.833333333333333,36,3.565277777777778,36
"Dim Sum",3.435483870967742,62,3.8263440860215066,62
"Wedding Planning",4.756756756756757,37,4.333783783783784,37
"Preschools",4.737864077669903,103,4.2635922330097085,103
"Performing Arts",4.579591836734694,245,4.095306122448981,245
"Argentine",4.255813953488372,43,4.038372093023254,43
"Moroccan",4.16,50,4.141666666666667,50
"Bookstores",4.663265306122449,98,3.925,98
"Desserts",4.252293577981652,218,4.073929663608563,218
"Fruits & Veggies",4.177914110429448,163,4.175766871165643,163
"Bakeries",4.388447653429603,1385,3.969326113116722,1385
"Pizza",4.210497539639147,1829,3.716156369600871,1829
"Seafood",4.36,450,4.044333333333335,450
"French",4.27313769751693,443,3.996952595936794,443
"Leisure Centers",4.583333333333333,180,3.896388888888889,180
"Zoos",4.63768115942029,69,4.184782608695655,69
"Adult Education",4.818181818181818,22,3.9318181818181817,22
"Vietnamese",3.392857142857143,112,3.8319940476190486,112
"Gas & Service Stations",4.47457627118644,118,3.4444915254237287,118
"British",4.330965068087626,3378,3.875429248075778,3378
"Chocolatiers & Shops",4.636363636363637,209,4.177830940988836,209
"Dance Clubs",4.323204419889502,362,3.5540976058931864,362
"Tapas/Small Plates",4.296610169491525,118,4.104237288135593,118
"Arcades",4.580645161290323,31,3.553225806451613,31
"Gluten-Free",4.455445544554456,101,3.834158415841583,101
"Cosmetics & Beauty Supply",4.766990291262136,103,3.8189320388349524,103
"Malaysian",3.272727272727273,44,3.9625000000000004,44
"Women's Clothing",4.588235294117647,51,3.878431372549019,51
"Parks",4.554285714285714,175,4.175142857142856,175
"Soccer",4.535714285714286,28,3.9571428571428564,28
"Portuguese",4.582914572864322,199,3.9100502512562816,199
"Accessories",4.6923076923076925,13,4.1269230769230765,13
"Peruvian",4.285714285714286,14,4.017857142857143,14
"Shopping",4.576923076923077,104,3.807692307692307,104
"Hospitals",4.845070422535211,142,3.8788732394366194,142
"Donuts",4.68,25,3.9980000000000007,25
"Jazz & Blues",3.973684210526316,38,4.0587719298245615,38
"Delis",4.205882352941177,510,4.180098039215686,510
"Hot Dogs",3.652173913043478,23,3.865217391304348,23
"Flowers & Gifts",4.529411764705882,34,3.948529411764705,34
