"key","ratings_avg","ratings_std","hygiene_avg","hygiene_std","r_value","std_err","len(val)"
"Lancaster City",4.058510638297871,0.6093511788291356,4.410334346504559,0.9917668112864302,0.09347066955102068,0.08961125056115957,329
"Dacorum",3.9853383458646645,0.6005672534137647,4.2180451127819545,1.1847295675979295,0.03143995333879674,0.12135030326115369,266
"Cherwell",3.934093789607097,0.7364473666029273,4.285171102661597,1.038447523805254,-0.026468640141496125,0.08725099807310928,263
"Darlington",4.012200000000002,0.596104990752468,4.764,0.7350537395320155,0.03715277090030228,0.07824751454864926,250
"Rugby",3.900000000000001,0.9867256209202192,4.098039215686274,1.2642117897894016,-0.053443205584134755,0.12793881766250298,102
"Hackney",3.965670103092785,0.5955847790896486,3.6030927835051547,1.2436190625889103,-0.01858188422060644,0.06710132725594488,970
"Tendring",3.9806451612903233,1.0070459370112073,4.548387096774194,0.7967154216276432,-0.037027996979515164,0.10206583384287195,62
"Chiltern",4.085114503816795,0.49105334113051385,4.083969465648855,1.0040997482377758,-0.13138309423697128,0.17847291377293556,131
"Sedgemoor",4.02913043478261,0.6815258650454126,4.560869565217391,0.8199889344082546,0.13142178864987475,0.07899051764580992,230
"Wandsworth",3.813097112860894,0.8032983385177205,3.9905511811023624,1.2114566666845787,0.004199722661587481,0.05994118583785707,635
"Sefton",3.958730158730157,0.6428884961979906,4.520282186948854,0.9329522604991779,0.05726516049102112,0.06095176442188364,567
"Great Yarmouth",4.095627376425855,0.5242320890644753,4.300380228136882,0.9890464009252641,-0.004433486181311302,0.11678001958164022,263
"Bracknell Forest",3.7876237623762377,0.7471863374029841,4.0,1.168904030989442,-0.06688409568358847,0.1568768113476095,101
"Wiltshire",4.082244121715081,0.5694638681767727,4.20746887966805,1.1187325297397563,-0.008899379155671195,0.06333668924331062,964
"Allerdale",4.193632075471699,0.5780942311623941,4.245283018867925,0.9982184201065132,0.21196365568231837,0.11644885396218366,212
"Watford",3.9250360750360747,0.6653917724317034,4.376623376623376,1.0735581617001944,-0.028350328369719142,0.10657511500549002,231
"Mendip",4.178703703703705,0.6176869826253432,4.57037037037037,0.8988943063213272,0.022543859353050005,0.08887147654778779,270
"Torfaen",4.0004347826086954,0.7294278774185886,3.965217391304348,1.1184650567522454,0.001617316335054318,0.14424483570452856,115
"East Cambridgeshire",4.094078947368421,0.7722986496774604,4.144736842105263,1.0966929638981515,0.02819838187177176,0.16501035124851374,76
"Knowsley",3.81822429906542,0.666466218737279,4.317757009345795,1.0194201287494118,0.049938584091438754,0.14908645983596777,107
"Chichester",4.138798701298704,0.5564814541649005,4.555194805194805,0.8219032558950817,0.08955290384313311,0.08409318687412647,308
